projname,teamname,environment,region,date_of_build,duration,status,log_on,log_off
proj4,team15,prod,EMEA,26/06/2024,583,Success,27/06/2024 13:07:59,27/06/2024 14:02:53
proj09,team20,prod,EMEA,07/07/2024,1224,Success,28/06/2024 13:55:52,28/06/2024 14:19:17
proj1,team19,prod,AMER,14/02/2024,545,Failure,29/06/2024 13:54:25,29/06/2024 14:28:09
proj3,team6,prod,APAC,05/05/2024,1088,Failure,30/06/2024 13:37:53,30/06/2024 14:33:53
proj34,team1,dev,EMEA,08/02/2024,3627,Failure,01/07/2024 13:02:36,01/07/2024 13:48:30
proj00,team2,stg,APAC,01/07/2024,331,Success,02/07/2024 13:49:04,02/07/2024 14:17:10
proj9,team16,stg,AMER,21/05/2024,579,Failure,03/07/2024 13:53:58,03/07/2024 13:56:29
proj23,team2,stg,AMER,18/03/2024,11,Success,04/07/2024 13:42:27,04/07/2024 13:49:06
proj7,team20,prod,AMER,22/06/2024,2962,Success,05/07/2024 13:59:43,05/07/2024 14:10:14
proj577,team8,prod,EMEA,05/06/2024,662,Success,06/07/2024 13:39:45,06/07/2024 14:21:03
proj22,team9,prod,APAC,27/03/2024,990,Failure,07/07/2024 13:46:28,07/07/2024 13:56:18
proj47,team13,stg,AMER,24/01/2024,661,Failure,08/07/2024 13:38:32,08/07/2024 13:39:16
proj5,team20,stg,APAC,25/01/2024,2098,Success,09/07/2024 13:37:04,09/07/2024 14:22:50
proj319,team2,prod,AMER,04/01/2024,3258,Failure,10/07/2024 13:53:01,10/07/2024 14:24:27
proj774,team5,dev,EMEA,26/05/2024,1623,Success,11/07/2024 12:49:25,11/07/2024 13:40:28
proj693,team12,dev,EMEA,25/06/2024,3951,Failure,12/07/2024 12:48:45,12/07/2024 13:38:49
proj732,team17,dev,APAC,23/06/2024,3027,Success,13/07/2024 13:16:47,13/07/2024 13:46:37
proj01,team4,dev,EMEA,03/02/2024,3719,Failure,14/07/2024 14:08:41,14/07/2024 14:24:56
proj807,team6,stg,APAC,08/01/2024,1984,Failure,15/07/2024 13:30:26,15/07/2024 14:10:06
proj299,team12,stg,APAC,09/05/2024,1925,Failure,16/07/2024 13:44:21,16/07/2024 13:45:03
proj332,team1,prod,APAC,24/02/2024,1975,Success,17/07/2024 13:21:52,17/07/2024 14:21:47
proj2,team10,dev,EMEA,16/05/2024,973,Success,18/07/2024 12:58:06,18/07/2024 13:36:01
proj957,team17,prod,EMEA,17/06/2024,800,Success,19/07/2024 13:32:26,19/07/2024 13:53:42
proj94,team9,prod,AMER,30/01/2024,585,Failure,20/07/2024 13:16:02,20/07/2024 13:47:47
proj37,team13,dev,EMEA,23/01/2024,1478,Failure,27/06/2024 13:06:15,27/06/2024 13:49:19
proj50,team11,dev,EMEA,16/06/2024,12,Success,28/06/2024 12:56:26,28/06/2024 13:41:13
proj2,team20,stg,EMEA,15/04/2024,3178,Failure,29/06/2024 13:18:42,29/06/2024 14:14:18
proj75,team5,prod,APAC,17/05/2024,1094,Failure,30/06/2024 13:28:10,30/06/2024 13:42:59
proj2,team4,dev,AMER,19/02/2024,2416,Failure,01/07/2024 13:54:35,01/07/2024 14:24:54
proj0,team19,stg,EMEA,18/05/2024,2767,Success,02/07/2024 13:33:24,02/07/2024 14:12:36
proj59,team3,dev,AMER,08/07/2024,696,Failure,03/07/2024 13:12:28,03/07/2024 13:56:07
proj2,team11,dev,EMEA,16/05/2024,2085,Failure,04/07/2024 14:18:24,04/07/2024 14:31:30
proj2,team13,prod,AMER,14/06/2024,3570,Success,05/07/2024 13:14:21,05/07/2024 13:41:57
proj78,team10,prod,AMER,04/04/2024,1591,Success,06/07/2024 12:55:08,06/07/2024 13:35:40
proj14,team13,prod,AMER,01/07/2024,418,Failure,07/07/2024 13:14:49,07/07/2024 13:47:24
proj8,team7,prod,APAC,14/05/2024,238,Success,08/07/2024 13:26:26,08/07/2024 14:25:15
proj8,team3,dev,AMER,22/05/2024,2713,Success,09/07/2024 13:24:20,09/07/2024 13:40:50
proj20,team10,dev,EMEA,18/06/2024,1121,Success,10/07/2024 13:49:47,10/07/2024 14:33:04
proj8,team5,prod,APAC,20/04/2024,116,Failure,11/07/2024 13:51:46,11/07/2024 14:29:06
proj63,team14,prod,EMEA,16/03/2024,1520,Success,12/07/2024 13:44:19,12/07/2024 13:58:34
proj122,team11,stg,EMEA,03/05/2024,210,Failure,13/07/2024 13:49:41,13/07/2024 14:25:52
proj125,team1,dev,AMER,09/04/2024,3951,Failure,14/07/2024 13:53:40,14/07/2024 14:20:49
proj769,team13,stg,APAC,10/06/2024,72,Success,15/07/2024 13:19:56,15/07/2024 13:36:12
proj447,team10,dev,EMEA,19/01/2024,2952,Success,16/07/2024 13:59:47,16/07/2024 14:09:03
proj6,team19,dev,APAC,03/07/2024,1253,Success,17/07/2024 13:22:50,17/07/2024 14:17:59
proj4,team12,dev,EMEA,17/05/2024,2862,Success,18/07/2024 13:37:44,18/07/2024 13:38:00
proj06,team17,prod,EMEA,23/04/2024,235,Success,19/07/2024 14:02:02,19/07/2024 14:10:04
proj4,team19,prod,EMEA,08/04/2024,3704,Success,20/07/2024 13:32:26,20/07/2024 14:09:18
proj8,team13,prod,EMEA,30/04/2024,1862,Success,27/06/2024 14:00:41,27/06/2024 14:12:22
proj24,team5,stg,AMER,14/03/2024,76,Success,28/06/2024 14:08:16,28/06/2024 14:31:27
proj0,team19,dev,APAC,12/02/2024,1067,Success,29/06/2024 14:13:58,29/06/2024 14:24:23
proj321,team5,prod,AMER,24/05/2024,2688,Success,30/06/2024 13:30:15,30/06/2024 13:56:08
proj163,team8,stg,APAC,14/05/2024,1663,Success,01/07/2024 13:30:43,01/07/2024 13:58:39
proj492,team19,dev,EMEA,01/01/2024,431,Failure,02/07/2024 13:15:28,02/07/2024 13:38:41
proj3,team10,stg,APAC,25/06/2024,1717,Failure,03/07/2024 12:41:17,03/07/2024 13:35:28
proj897,team10,stg,APAC,26/06/2024,2433,Failure,04/07/2024 13:41:25,04/07/2024 14:01:10
proj368,team4,prod,APAC,28/03/2024,989,Failure,05/07/2024 13:22:58,05/07/2024 14:15:48
proj29,team18,prod,EMEA,10/02/2024,1195,Success,06/07/2024 14:20:52,06/07/2024 14:21:10
proj911,team20,prod,APAC,21/01/2024,2443,Success,07/07/2024 14:17:36,07/07/2024 14:27:30
proj518,team14,stg,APAC,10/02/2024,571,Success,08/07/2024 13:36:36,08/07/2024 14:26:37
proj537,team15,stg,AMER,08/04/2024,777,Success,09/07/2024 13:41:25,09/07/2024 14:08:28
proj21,team13,dev,EMEA,12/06/2024,3972,Failure,10/07/2024 14:01:32,10/07/2024 14:07:22
proj57,team8,dev,EMEA,03/01/2024,3189,Success,11/07/2024 13:36:53,11/07/2024 14:07:11
proj39,team12,dev,AMER,25/06/2024,1638,Success,12/07/2024 13:18:31,12/07/2024 13:58:25
proj03,team10,stg,APAC,24/04/2024,1065,Success,13/07/2024 13:30:14,13/07/2024 13:56:10
proj015,team11,prod,APAC,30/05/2024,3409,Failure,14/07/2024 13:38:04,14/07/2024 14:28:38
proj460,team15,prod,EMEA,10/04/2024,1090,Success,15/07/2024 12:58:04,15/07/2024 13:44:29
proj38,team9,dev,EMEA,06/03/2024,934,Success,16/07/2024 13:09:57,16/07/2024 13:46:08
proj83,team1,stg,EMEA,26/04/2024,2263,Success,17/07/2024 13:19:34,17/07/2024 13:40:34
proj983,team9,prod,EMEA,19/02/2024,2820,Success,18/07/2024 12:52:43,18/07/2024 13:37:17
proj8,team5,dev,EMEA,02/06/2024,3229,Success,19/07/2024 12:56:53,19/07/2024 13:36:14
proj66,team5,prod,AMER,02/03/2024,2317,Success,20/07/2024 12:53:00,20/07/2024 13:45:25
proj4,team3,dev,EMEA,28/03/2024,681,Failure,27/06/2024 13:34:22,27/06/2024 13:57:16
proj631,team19,stg,AMER,03/05/2024,3089,Success,28/06/2024 13:20:03,28/06/2024 13:55:54
proj9,team7,prod,AMER,25/03/2024,2804,Failure,29/06/2024 13:51:24,29/06/2024 14:11:11
proj2,team18,prod,EMEA,11/01/2024,3758,Failure,30/06/2024 13:29:47,30/06/2024 13:52:42
